artist_name,release_name,song_name
"Domingo Giribaldi","Suspiro Criollo","Suspiro Criollo"
Alyminaty,"No Hay Tiempo Que","No Hay Tiempo Que"
"Elcias Quintana","Muriendo De Amor","Muriendo De Amor"
"Elcias Quintana","Falsa Ilusion","Falsa Ilusion"
"Gilberto Obando","Infame Traición","Infame Traición"
"Leonardo Marin el Apachurrao","El Moño De Mi Novia","El Moño De Mi Novia"
"Elcias Quintana","Perdida Sin Razon","Perdida Sin Razon"
"Marcos Requena","Al Compas De La Corriente (Buleria)","Al Compas De La Corriente (Buleria)"
"Marcos Requena",Caminare,Caminare
"Baby Brazy","No Hay Tiempo","No Hay Tiempo"
"Henry Garcia","De Sueño a Realidad","Hasta La Muerte"
"Henry Garcia","De Sueño a Realidad","De Sueño a Realidad"
"Henry Garcia","De Sueño a Realidad","No Me Olvido"
"Henry Garcia","De Sueño a Realidad","Te Agradezco"
"Henry Garcia","De Sueño a Realidad","Sabes Que Te Quiero"
"Henry Garcia","De Sueño a Realidad",Reacciona
"Henry Garcia","De Sueño a Realidad",Interlude
"Henry Garcia","De Sueño a Realidad",Levantate
"Henry Garcia","De Sueño a Realidad","Gracias Señor Jesus"
"Henry Garcia","De Sueño a Realidad","Somos Intocables"
"Henry Garcia","De Sueño a Realidad","De Sueño a Realidad Version Club Electronico"
"Henry Garcia","De Sueño a Realidad",Intro
"Leonardo Marin el Apachurrao","El Cantinero Loco","El Cantinero Loco"
"Mario Ojeda","Con Voz De Amigos Vol.1","Y Mas Tarde SeñOr"
"Mario Ojeda","Con Voz De Amigos Vol.1","Siempre en Mí"
"Mario Ojeda","Con Voz De Amigos Vol.1","Podrás Decirme"
"Mario Ojeda","Con Voz De Amigos Vol.1","Para Oírte Respirar"
"Mario Ojeda","Con Voz De Amigos Vol.1","No Lo Olviden"
"Mario Ojeda","Con Voz De Amigos Vol.1","Ni Lo Pienses"
"Mario Ojeda","Con Voz De Amigos Vol.1","Me Gusta Hacerlo"
"Mario Ojeda","Con Voz De Amigos Vol.1","Lazos Invisibles"
"Mario Ojeda","Con Voz De Amigos Vol.1","La Fábula Acabó"
"Mario Ojeda","Con Voz De Amigos Vol.1","Hacé La Prueba"
"Mario Ojeda","Con Voz De Amigos Vol.1","Es Un Blues (O Eso Parece)"
"Mario Ojeda","Con Voz De Amigos Vol.1","En Cada Nuevo Amanecer"
"Mario Ojeda","Con Voz De Amigos Vol.1","Con La Emoción Intacta"
"Mario Ojeda","Con Voz De Amigos Vol.1",Bruselas
"Mario Ojeda","Con Voz De Amigos Vol.1","Aún en Mis Sueños"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Ya No Seré Lo Que Fuí"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Suele Ocurrir De Vez En.."
